ITEMID,ORIGINALID,ITEMNAME,CATEGORY,PRICE,EXPLANATION,IMAGENAME
101,B000000001,ラガービール,1001,185,ラガーらしいうまさを追求し、ホップにこだわり、よりホップをきかせた味わいに。ビールならではの、のどにグッとくる刺激感とコク・飲みごたえのある味を強化しました。ガツン！とくる。それがビール。キリンラガービール。,101_lager_beer.jpg
102,B000000002,一番搾り〈生〉,1001,190,麦芽100%の上質なうまみを、キリンのビールづくりの象徴、一番搾り製法により丁寧に引き出した、贅沢なビールです。,102_ichibanshibori.jpg
103,B000000003,サッポロ〈生ビール〉黒ラベル,1001,230,サッポロビールのフィールドマンが世界中の生産者を訪れ、サッポロ生ビール黒ラベルのための麦芽とホップを一緒につくる。そして、その中からサッポロ生ビールの品質にふさわしい麦芽とホップだけを選び抜いたビールです。,103_kurolabel.jpg
104,B000000004,ヱビスビール,1001,245,ヱビスビールは、厳選されたアロマホップをふんだんに使用し、長期熟成によって生まれた、素材と製法にこだわる麦100％のビールです。,104_ebisu.jpg
105,B000000005,アサヒスーパードライ ,1001,190,辛口・キレ・鮮度。スーパードライの主張が多くのお客さまに支持されています。鮮度でキレが冴える。雑味がないから料理のうまさを損ねない。洗練されたクリアな味・辛口。うまさが違うビールです。 ,105_super_dry.jpg
106,B000000006,オリオンスペシャル　エックス,1001,144,オリオンスペシャルⅩは、新ジャンルに物足りなさを感じるこだわり派ユーザーのニーズを満たすため、「本格的な飲みごたえ」を実現したビールです。,106_orion_x.jpg
107,B000000007,オリオン　ドラフトビール,1001,216,亜熱帯気候の中で育まれた爽快なのどごしと爽やかな味わいが特徴です。すっきりとした味わいの中にもビール本来の飲みごたえがあるビールです。,107_orion_draft.jpg
108,B000000008,オリオン　サザンスター,1001,144,オリオン独自の醸造技術によりすっきりとした爽快な味わいを実現させたビールです。,108_orion_southen_star.jpg
109,B000000009,八海山泉ビール　アルト,1001,577,濃色麦芽が醸し出す香ばしい香りやコク、ほのかに感じる甘みとホップのすっきりとした苦味が特徴のビールです。,109_hakkaisan.jpg
110,B000000010,エチゴビール スタウト,1001,267,ロースと麦芽の香ばしい香りと、エール特有のフルーティーな香り、ホップの苦味の中にモルトの甘みが感じられる、クリーミーな泡立ち、芳醇なコクと香りのビールです。,110_echigo_stout.jpg
111,B000000011,白雪ビール ダーク,1001,630,紅がかった褐色の色合いに芳ばしい香り、コクがあって少し甘味のある味わい深いビールです。 ,111_sirayuki.jpg
112,B000000012,よなよなエール（ペールエール）,1001,260,最高級アロマホップとエールモルトで結実したフルーティな香りと味わいのアメリカンペールエールです。美しい琥珀色、豊かなアロマ、ほんのり甘さを感じるコクと、少し強めの苦みフレーバーが特徴のです。,112_yonayona_ale.jpg
113,B000000013,宇奈月ビール（アルト）,1001,390,美しく濃い赤銅色と白い泡、上面発酵酵母の上品な香り、原麦汁濃度は12％とドイツビールではやや低めですが旨みがあり、軽い甘みと深いコクが絶妙に調和しています。,113_unazuki.jpg
114,B000000014,銀河高原ビール（ヴァイツェン）,1001,260,活きたビール酵母入りの新鮮さをご自宅でも味わっていただけるプレシャスなビールです。,114_gingakogen.jpg
115,B000000015,エチゴビール　（ピルスナー）,1001,280,「チェコクラシック」にこだわり、ピルスナーのオリジナルホップとされるザーツ地方産ザーツ種のホップのみを贅沢に使用し、高貴な薫りと深趣な苦みを実現したビールです。,115_echigo_pilsner.jpg
116,B000000016,東京ブラック（ポーター）,1001,280,非常に飲みやすい黒ビールになっており、黒ビール独特のカラメルの甘みが抑えられていてすっきりとした喉越しと後味をしたビールです。,116_tokyo_black.jpg
201,S000000001,国士無双,1002,3040,国士無双シリーズの最高峰。山田錦を40%まで贅沢に磨き上げ、低温発酵で時間をかけて丁寧に醸した大吟醸の逸品です。,201_kokushimuso.jpg
202,S000000002,男山,1002,1551,江戸時代から、古今第一の名酒として歴史上に残る有名な方々の愛飲を受け、昔の貴重な資料と共に、現代に伝わる伝統の名酒です。,202_otokoyoma.jpg
203,S000000003,一ノ蔵　大吟醸,1002,5300,軽快でフルーティーな吟醸香と、涼やかで綺麗な味わいが特徴的な大吟醸。さらりとしてキレのある喉越しは草原に吹く風のような清々しさです。,203_ichinokura.jpg
204,S000000004,栗駒山特別純米酒,1002,1500,日本酒が持つ爽やかな香味と、ほどよい旨みが調和して、軽くスムーズな酒質です。,204_kurikomayama.jpg
205,S000000005,萩の鶴,1002,3800,十四代系で香りが高い日本酒です。少し甘めで濃厚な味、メロン系のいい香りです。,205_haginotsuru.jpg
206,S000000006,澤乃井　吟の舞　,1002,2300,東京サミット（昭和61年、平成5年）の乾杯酒に使用された東京国税局管内（東京・神奈川・千葉・山梨）の蔵元数十社の共同銘柄酒です。,206_sawanoi.jpg
207,S000000007,天乃原　純米吟醸,1002,1454,香りが良く、豊かで厚めの味わいで、濃厚に感じさせます。甘さもやや感じるさせます。,207_amanohara.jpg
208,S000000008,豪酒生（純米）,1002,1279,オーストラリア米とブルーマウンテンの天然水で醸造し、火入れせずに貯蔵した「純米生貯蔵酒」。さっぱりとして女性にも人気があります。,208_gosyu_nama.jpg
209,S000000009,純米生酒 浦霞,1002,1310,生酒ならではの清涼感あふれるフレッシュな味わいと純米酒らしい旨味と酸味の絶妙なバランス。,209_urakasumi.jpg
210,S000000010,金の蔵,1002,2100,フルーティーな香りとまろやかな味わいが高級感を漂わせる至高の逸品。料理との相性も抜群の食中酒にぴったりな大吟醸です。,210_kinnokura.jpg
211,S000000011,銀の蔵 ,1002,1427,綺麗な香りとまろやかな旨味、そして飽きのこない後味のすっきりしたキレが絶妙な、山形の地酒「出羽燦々」の純米吟醸です。,211_ginnokura.jpg
212,S000000012,青の蔵 ,1002,1427,コクのある味わいが楽しめる逸品。冷でもお燗でもおいしいお酒です。,212_aonokura.jpg
301,A000000001,菊之露　ブラウン,1003,793,泡盛がもつ本来独特の旨みと、まろやかな風味を適度な濃度でストレートに表現した若酒。水で割っても崩れない味わいは泡盛初心者にもおすすめ。,301_kikunotsuyu_braun.jpg
302,A000000002,菊之露,1003,614,泡盛がもつ本来の独特の旨み・風味をストレートに表現した若酒。カッときてゴリッとくるが、それがまた良い。,302_kikunotsuyu.jpg
303,A000000003,忠孝,1003,1650,忠孝酒造の最も基本となる泡盛です。コクがあって、水で割っても伸びがきくので水割りに最適な一品です。,303_tyukou.jpg
304,A000000004,はなはな,1003,1800,日本最西端、与那国島の泡盛。「はなはな」とは八重山の方言で「乾杯」の意。酸味を抑えたモロミにより柔らかな口当たりです。,304_hanahana.jpg
305,A000000005,久米島の久米仙,1003,1953,名水「堂井（ドーガー）」の沸清水により醸された泡盛。盛鑑評会金賞、泡盛鑑評会県知事賞受賞。,305_kumesen.jpg
306,A000000006,久米島の久米仙古酒,1003,2289,甘く、飲み口さわやか。エメラルドの海と自然が育てた味と香りとも充分に堪能できる魅力いっぱいの古酒です。,306_kumesen_kosyu.jpg
307,A000000007,仙華,1003,750,黒麹を用い、１００％こうじだけで低温発酵させた常圧蒸留により、黒麹のコクと、泡盛本来の旨みが調和した最もソフトで口当たり爽快な泡盛です。蒸留にこだわった泡盛です。,307_senka.jpg
308,A000000008,瑞泉古酒,1003,2982,古酒造りの伝統を誇る瑞泉が放つ、本格かめ貯蔵による長期熟成古酒です。,308_suisen_kosyu.jpg
309,A000000009,黒龍,1003,3500,首里城の隣で、貴重な「古酒（クース）」の伝統と誇りを受け継ぎ　古酒貯蔵量の随一を誇ります。かめ貯蔵からくる深いコク、古酒独特のまろやかな味わいが絶品の１０年古酒泡盛です。,309_suisen_kokuryu.jpg
310,A000000010,古都首里,1003,2166,古都首里その名のとおり琉球王朝の膝元，泡盛発祥の地，首里で１９８３年蒸留の古酒をブレンドし，芳醇な味わいにこだわりました。,310_kotosyuri.jpg
311,A000000011,琉美,1003,7350,古酒のもつ、まろやかな甘みと、やわらかな古酒香を全面的に引き出した泡盛。,311_ryubi.jpg
312,A000000012,かりゆし,1003,1950,「かりゆし」とは沖縄の方言で「めでたい」という意味。ソフトな中にも伝統的な味わいが残されています。,312_kariyusi.jpg
